"","V1"
"682",7708.990234375
"683",7790.1499023438
"684",8036.490234375
"685",8200.6396484375
"686",8071.259765625
"687",8253.5498046875
"688",8038.7700195313
"689",8253.6904296875
"690",8790.919921875
"691",9330.5498046875
"692",9818.349609375
"693",10058.7998046875
"694",9888.6103515625
"695",10233.599609375
"696",10975.599609375
"697",11074.599609375
"698",11323.2001953125
"699",11657.2001953125
"700",11916.7001953125
"701",14291.5
"702",17899.69921875
"703",16569.400390625
"704",15178.2001953125
"705",15455.400390625
"706",16936.80078125
"707",17415.400390625
"708",16408.19921875
"709",16564
"710",17706.900390625
"711",19497.400390625
"712",19140.80078125
"713",19114.19921875
"714",17776.69921875
"715",16624.599609375
"716",15802.900390625
"717",13831.7998046875
"718",14699.2001953125
"719",13925.7998046875
"720",14026.599609375
"721",16099.7998046875
"722",15838.5
"723",14606.5
"724",14656.2001953125
"725",12952.2001953125
"726",14156.400390625
"727",13657.2001953125
"728",14982.099609375
"729",15201
"730",15599.2001953125
"731",17429.5
"732",17527
"733",16477.599609375
"734",15170.099609375
"735",14595.400390625
"736",14973.2998046875
"737",13405.7998046875
"738",13980.599609375
"739",14360.2001953125
"740",13772
"741",13819.7998046875
"742",11490.5
"743",11188.599609375
"744",11474.900390625
"745",11607.400390625
"746",12899.2001953125
"747",11600.099609375
"748",10931.400390625
"749",10868.400390625
"750",11359.400390625
"751",11259.400390625
"752",11171.400390625
"753",11440.7001953125
"754",11786.2998046875
"755",11296.400390625
"756",10106.2998046875
"757",10221.099609375
"758",9170.5400390625
"759",8830.75
"760",9174.91015625
"761",8277.009765625
"762",6955.2700195313
"763",7754
"764",7621.2998046875
"765",8265.58984375
"766",8736.98046875
"767",8621.900390625
"768",8129.9702148438
"769",8926.5703125
"770",8598.3095703125
"771",9494.6298828125
"772",10166.400390625
"773",10233.900390625
"774",11112.7001953125
"775",10551.7998046875
"776",11225.2998046875
"777",11403.7001953125
"778",10690.400390625
"779",10005
"780",10301.099609375
"781",9813.0703125
"782",9664.73046875
"783",10366.7001953125
"784",10725.599609375
"785",10397.900390625
"786",10951
"787",11086.400390625
"788",11489.7001953125
"789",11512.599609375
"790",11573.2998046875
"791",10779.900390625
"792",9965.5703125
"793",9395.009765625
"794",9337.5498046875
"795",8866
"796",9578.6298828125
"797",9205.1201171875
"798",9194.849609375
"799",8269.8095703125
"800",8300.8603515625
"801",8338.349609375
"802",7916.8798828125
"803",8223.6796875
"804",8630.650390625
"805",8913.4697265625
"806",8929.2802734375
"807",8728.4697265625
"808",8879.6201171875
"809",8668.1201171875
"810",8495.7802734375
"811",8209.400390625
"812",7833.0400390625
"813",7954.4799804688
"814",7165.7001953125
"815",6890.5200195313
"816",6973.5297851563
"817",6844.2299804688
"818",7083.7998046875
"819",7456.1098632813
"820",6853.83984375
"821",6811.4702148438
"822",6636.3198242188
"823",6911.08984375
"824",7023.5200195313
"825",6770.7299804688
"826",6834.759765625
"827",6968.3198242188
"828",7889.25
"829",7895.9599609375
"830",7986.240234375
"831",8329.1103515625
"832",8058.669921875
"833",7902.08984375
"834",8163.419921875
"835",8294.3095703125
"836",8845.830078125
"837",8895.580078125
"838",8802.4599609375
"839",8930.8798828125
"840",9697.5
"841",8845.740234375
"842",9281.509765625
"843",8987.0498046875
"844",9348.48046875
"845",9419.080078125
"846",9240.5498046875
"847",9119.009765625
"848",9235.919921875
"849",9743.8603515625
"850",9700.759765625
"851",9858.150390625
"852",9654.7998046875
"853",9373.009765625
"854",9234.8203125
"855",9325.1796875
"856",9043.9404296875
"857",8441.490234375
"858",8504.8896484375
"859",8723.9404296875
"860",8716.7900390625
"861",8510.3798828125
"862",8368.830078125
"863",8094.3198242188
"864",8250.9697265625
"865",8247.1796875
"866",8513.25
"867",8418.990234375
"868",8041.7797851563
"869",7557.8198242188
"870",7587.33984375
"871",7480.1401367188
